subject,trial,movement,noise,sound,tp_evt,fp_evt,fn_evt,se_evt,ppv_evt,f1_evt,n_pred,n_true,duration
20794,1,sit,nothing,throat_clearing,0,0,0,nan,nan,nan,0,0,11.27
20794,1,sit,someone_else_cough,cough,4,2,7,0.36363636363636365,0.6666666666666666,0.47058823529411764,6,11,8.76
20794,1,sit,someone_else_cough,laugh,0,0,0,nan,nan,nan,0,0,9.38
20794,1,sit,someone_else_cough,deep_breathing,0,0,0,nan,nan,nan,0,0,11.22
20794,1,sit,someone_else_cough,throat_clearing,0,0,0,nan,nan,nan,0,0,8.93
20794,1,sit,traffic,cough,7,5,4,0.6363636363636364,0.5833333333333334,0.6086956521739131,12,11,12.05
20794,1,sit,traffic,laugh,0,0,0,nan,nan,nan,0,0,10.24
20794,1,sit,traffic,deep_breathing,0,0,0,nan,nan,nan,0,0,13.47
20794,1,sit,traffic,throat_clearing,0,0,0,nan,nan,nan,0,0,9.54
20794,1,walk,music,cough,7,4,7,0.5,0.6363636363636364,0.56,18,14,13.46
20794,1,walk,music,laugh,0,0,0,nan,nan,nan,0,0,11.15
20794,1,walk,music,deep_breathing,0,0,0,nan,nan,nan,0,0,16.46
20794,1,walk,music,throat_clearing,0,0,0,nan,nan,nan,0,0,12.99
20794,1,walk,nothing,cough,6,1,5,0.5454545454545454,0.8571428571428571,0.6666666666666666,12,11,8.15
20794,1,walk,nothing,laugh,0,0,0,nan,nan,nan,0,0,9.24
20794,1,walk,nothing,deep_breathing,0,0,0,nan,nan,nan,0,0,11.75
20794,1,walk,nothing,throat_clearing,0,0,0,nan,nan,nan,0,0,11.57
20794,1,walk,someone_else_cough,cough,6,5,3,0.6666666666666666,0.5454545454545454,0.6,11,9,7.01
20794,1,walk,someone_else_cough,laugh,0,2,0,nan,0.0,0.0,2,0,11.67
20794,1,walk,someone_else_cough,deep_breathing,0,0,0,nan,nan,nan,0,0,15.27
20794,1,walk,someone_else_cough,throat_clearing,0,5,0,nan,0.0,0.0,5,0,12.07
20794,1,walk,traffic,cough,10,1,4,0.7142857142857143,0.9090909090909091,0.8,16,13,10.3
20794,1,walk,traffic,laugh,0,2,0,nan,0.0,0.0,2,0,12.06
20794,1,walk,traffic,deep_breathing,0,0,0,nan,nan,nan,0,0,11.32
20794,1,walk,traffic,throat_clearing,0,2,0,nan,0.0,0.0,2,0,14.37
20794,2,sit,music,cough,3,1,6,0.3333333333333333,0.75,0.46153846153846156,3,9,12.12
20794,2,sit,music,laugh,0,0,0,nan,nan,nan,0,0,11.65
20794,2,sit,music,deep_breathing,0,0,0,nan,nan,nan,0,0,11.11
20794,2,sit,music,throat_clearing,0,0,0,nan,nan,nan,0,0,9.59
20794,2,sit,nothing,cough,6,5,2,0.75,0.5454545454545454,0.631578947368421,15,8,9.21
20794,2,sit,nothing,laugh,0,0,0,nan,nan,nan,0,0,10.83
20794,2,sit,nothing,deep_breathing,0,0,0,nan,nan,nan,0,0,10.49
20794,2,sit,nothing,throat_clearing,0,0,0,nan,nan,nan,0,0,11.09
20794,2,sit,someone_else_cough,cough,1,5,7,0.125,0.16666666666666666,0.14285714285714285,10,8,11.85
20794,2,sit,someone_else_cough,laugh,0,0,0,nan,nan,nan,0,0,11.38
20794,2,sit,someone_else_cough,deep_breathing,0,0,0,nan,nan,nan,0,0,10.65
20794,2,sit,someone_else_cough,throat_clearing,0,0,0,nan,nan,nan,0,0,8.91
20794,2,sit,traffic,cough,2,3,4,0.3333333333333333,0.4,0.36363636363636365,5,6,8.63
20794,2,sit,traffic,laugh,0,0,0,nan,nan,nan,0,0,11.07
20794,2,sit,traffic,deep_breathing,0,0,0,nan,nan,nan,0,0,11.07
20794,2,sit,traffic,throat_clearing,0,0,0,nan,nan,nan,0,0,11.21
20794,2,walk,music,cough,6,1,5,0.5454545454545454,0.8571428571428571,0.6666666666666666,11,11,11.26
20794,2,walk,music,laugh,0,0,0,nan,nan,nan,0,0,12.47
